project,real bug diagnose sim,unreal bug diagnose sim,precision,recall,wasted,bug id,original score percentage,f-score,expense,t-score,cost,exam-score,bug index,changed files,changed functions
Codec,0.8,0,0.9767014622145851,0.48835073110729255,0.5,264,0.2,0.6511343081430567,12.5,12.5,0.125,0.0,8,1,4
Codec,0.8,0.1,0.9573763012314715,0.4786881506157358,0.5,264,0.2,0.6382508674876477,12.5,12.5,0.125,0.0,8,1,4
Codec,0.8,0.2,0.9242424514181156,0.4621212257090578,0.5,264,0.2,0.6161616342787438,12.5,12.5,0.125,0.0,8,1,4
Codec,0.8,0.3,0.8716202889922597,0.43581014449612987,0.5,264,0.2,0.5810801926615065,12.5,12.5,0.125,0.0,8,1,4
Codec,0.8,0.4,0.7974239685452196,0.3987119842726098,0.5,264,0.2,0.5316159790301463,12.5,12.5,0.125,0.0,8,1,4
Codec,0.8,0.5,0.7086303313216007,0.35431516566080035,0.5,264,0.2,0.47242022088106717,12.5,12.5,0.125,0.0,8,1,4
Codec,0.8,0.6,0.6210445846978354,0.3105222923489177,0.5,264,0.2,0.41402972313189024,12.5,12.5,0.125,0.0,8,1,4
Codec,0.8,0.7,0.5496645482868899,0.27483227414344497,0.5,264,0.2,0.36644303219126,12.5,12.5,0.125,0.0,8,1,4
Codec,0.8,0.8,0.5000046095182389,0.25000230475911944,0.5,264,0.2,0.3333364063454926,12.5,12.5,0.125,0.0,8,1,4
Codec,0.8,0.9,0.46913692201652735,0.23456846100826367,2.5,264,0.2,0.31275794801101825,62.5,62.5,0.625,50.0,8,1,4
Codec,0.8,1,0.4512743119581122,0.2256371559790561,2.5,264,0.2,0.30084954130540814,62.5,62.5,0.625,50.0,8,1,4
Codec,0.9,0,0.9793547863573506,0.4896773931786753,0.5,264,0.2,0.6529031909049005,12.5,12.5,0.125,0.0,8,1,4
Codec,0.9,0.1,0.9621451474807163,0.48107257374035817,0.5,264,0.2,0.6414300983204775,12.5,12.5,0.125,0.0,8,1,4
Codec,0.9,0.2,0.9324568591146832,0.4662284295573416,0.5,264,0.2,0.6216379060764554,12.5,12.5,0.125,0.0,8,1,4
Codec,0.9,0.3,0.8848295216864294,0.4424147608432147,0.5,264,0.2,0.589886347790953,12.5,12.5,0.125,0.0,8,1,4
Codec,0.9,0.4,0.8166616084647199,0.40833080423235996,0.5,264,0.2,0.5444410723098133,12.5,12.5,0.125,0.0,8,1,4
Codec,0.9,0.5,0.7334819904406118,0.3667409952203059,0.5,264,0.2,0.48898799362707446,12.5,12.5,0.125,0.0,8,1,4
Codec,0.9,0.6,0.6496734978742552,0.3248367489371276,0.5,264,0.2,0.43311566524950346,12.5,12.5,0.125,0.0,8,1,4
Codec,0.9,0.7,0.5800394781148294,0.2900197390574147,0.5,264,0.2,0.3866929854098862,12.5,12.5,0.125,0.0,8,1,4
Codec,0.9,0.8,0.5308703019409133,0.26543515097045667,0.5,264,0.2,0.35391353462727554,12.5,12.5,0.125,0.0,8,1,4
Codec,0.9,0.9,0.5000026420750979,0.25000132103754896,0.5,264,0.2,0.33333509471673195,12.5,12.5,0.125,0.0,8,1,4
Codec,0.9,1,0.48203192941772666,0.24101596470886333,2.5,264,0.2,0.32135461961181777,62.5,62.5,0.625,50.0,8,1,4
Codec,1,0,0.9807596860594021,0.49037984302970106,0.5,264,0.2,0.6538397907062681,12.5,12.5,0.125,0.0,8,1,4
Codec,1,0.1,0.9646789203419969,0.48233946017099844,0.5,264,0.2,0.6431192802279979,12.5,12.5,0.125,0.0,8,1,4
Codec,1,0.2,0.9368473534338717,0.46842367671693586,0.5,264,0.2,0.6245649022892478,12.5,12.5,0.125,0.0,8,1,4
Codec,1,0.3,0.8919572070835518,0.4459786035417759,0.5,264,0.2,0.5946381380557012,12.5,12.5,0.125,0.0,8,1,4
Codec,1,0.4,0.8271841084107862,0.4135920542053931,0.5,264,0.2,0.5514560722738574,12.5,12.5,0.125,0.0,8,1,4
Codec,1,0.5,0.7473012768708929,0.37365063843544644,0.5,264,0.2,0.4982008512472618,12.5,12.5,0.125,0.0,8,1,4
Codec,1,0.6,0.665858710581094,0.332929355290547,0.5,264,0.2,0.4439058070540627,12.5,12.5,0.125,0.0,8,1,4
Codec,1,0.7,0.5974484134425087,0.2987242067212543,0.5,264,0.2,0.3982989422950058,12.5,12.5,0.125,0.0,8,1,4
Codec,1,0.8,0.548731736573294,0.274365868286647,0.5,264,0.2,0.3658211577155293,12.5,12.5,0.125,0.0,8,1,4
