project,real bug diagnose sim,unreal bug diagnose sim,precision,recall,wasted,bug id,original score percentage,f-score,expense,t-score,cost,exam-score,bug index,changed files,changed functions
Csv,0.8,0,0.9767010446525985,0.9767010446525985,0.0,96,0.2,0.9767010446525984,0.0,0.0,0.0,0.0,2,1,1
Csv,0.8,0.1,0.957375552388626,0.957375552388626,0.0,96,0.2,0.957375552388626,0.0,0.0,0.0,0.0,2,1,1
Csv,0.8,0.2,0.9242411663782655,0.9242411663782655,0.0,96,0.2,0.9242411663782655,0.0,0.0,0.0,0.0,2,1,1
Csv,0.8,0.3,0.8716182349372615,0.8716182349372615,0.0,96,0.2,0.8716182349372615,0.0,0.0,0.0,0.0,2,1,1
Csv,0.8,0.4,0.7974210023322988,0.7974210023322988,0.0,96,0.2,0.7974210023322988,0.0,0.0,0.0,0.0,2,1,1
Csv,0.8,0.5,0.7086265382567725,0.7086265382567725,0.0,96,0.2,0.7086265382567724,0.0,0.0,0.0,0.0,2,1,1
Csv,0.8,0.6,0.6210402586433259,0.6210402586433259,0.0,96,0.2,0.6210402586433259,0.0,0.0,0.0,0.0,2,1,1
Csv,0.8,0.7,0.5496599954428348,0.5496599954428348,0.0,96,0.2,0.5496599954428348,0.0,0.0,0.0,0.0,2,1,1
Csv,0.8,0.8,0.5000000088564056,0.5000000088564056,0.0,96,0.2,0.5000000088564056,0.0,0.0,0.0,0.0,2,1,1
Csv,0.8,0.9,0.4691323371054138,0.4691323371054138,1.0,96,0.2,0.4691323371054138,50.0,50.0,0.5,50.0,2,1,1
Csv,0.8,1,0.4512697520856391,0.4512697520856391,1.0,96,0.2,0.4512697520856391,50.0,50.0,0.5,50.0,2,1,1
Csv,0.9,0,0.9793545743204295,0.9793545743204295,0.0,96,0.2,0.9793545743204295,0.0,0.0,0.0,0.0,2,1,1
Csv,0.9,0.1,0.9621447654831111,0.9621447654831111,0.0,96,0.2,0.9621447654831111,0.0,0.0,0.0,0.0,2,1,1
Csv,0.9,0.2,0.9324561984324822,0.9324561984324822,0.0,96,0.2,0.9324561984324822,0.0,0.0,0.0,0.0,2,1,1
Csv,0.9,0.3,0.8848284523112495,0.8848284523112495,0.0,96,0.2,0.8848284523112494,0.0,0.0,0.0,0.0,2,1,1
Csv,0.9,0.4,0.8166600364211122,0.8166600364211122,0.0,96,0.2,0.8166600364211122,0.0,0.0,0.0,0.0,2,1,1
Csv,0.9,0.5,0.7334799362642224,0.7334799362642224,0.0,96,0.2,0.7334799362642224,0.0,0.0,0.0,0.0,2,1,1
Csv,0.9,0.6,0.649671103807613,0.649671103807613,0.0,96,0.2,0.649671103807613,0.0,0.0,0.0,0.0,2,1,1
Csv,0.9,0.7,0.5800369130243335,0.5800369130243335,0.0,96,0.2,0.5800369130243335,0.0,0.0,0.0,0.0,2,1,1
Csv,0.9,0.8,0.5308676769815494,0.5308676769815494,0.0,96,0.2,0.5308676769815494,0.0,0.0,0.0,0.0,2,1,1
Csv,0.9,0.9,0.5000000052844519,0.5000000052844519,0.0,96,0.2,0.5000000052844519,0.0,0.0,0.0,0.0,2,1,1
Csv,0.9,1,0.4820292948879657,0.4820292948879657,1.0,96,0.2,0.4820292948879657,50.0,50.0,0.5,50.0,2,1,1
Csv,1,0,0.9807595745122588,0.9807595745122588,0.0,96,0.2,0.9807595745122588,0.0,0.0,0.0,0.0,2,1,1
Csv,1,0.1,0.9646787188847407,0.9646787188847407,0.0,96,0.2,0.9646787188847407,0.0,0.0,0.0,0.0,2,1,1
Csv,1,0.2,0.936847003508106,0.936847003508106,0.0,96,0.2,0.936847003508106,0.0,0.0,0.0,0.0,2,1,1
Csv,1,0.3,0.8919566367672119,0.8919566367672119,0.0,96,0.2,0.8919566367672119,0.0,0.0,0.0,0.0,2,1,1
Csv,1,0.4,0.8271832615984261,0.8271832615984261,0.0,96,0.2,0.8271832615984261,0.0,0.0,0.0,0.0,2,1,1
Csv,1,0.5,0.7473001565937438,0.7473001565937438,0.0,96,0.2,0.7473001565937438,0.0,0.0,0.0,0.0,2,1,1
Csv,1,0.6,0.6658573882818293,0.6658573882818293,0.0,96,0.2,0.6658573882818293,0.0,0.0,0.0,0.0,2,1,1
Csv,1,0.7,0.5974469813572773,0.5974469813572773,0.0,96,0.2,0.5974469813572773,0.0,0.0,0.0,0.0,2,1,1
Csv,1,0.8,0.5487302596524197,0.5487302596524197,0.0,96,0.2,0.5487302596524197,0.0,0.0,0.0,0.0,2,1,1
Csv,1,0.9,0.5179707133800089,0.5179707133800089,0.0,96,0.2,0.5179707133800089,0.0,0.0,0.0,0.0,2,1,1
Csv,1,1,0.5000000029942169,0.5000000029942169,0.0,96,0.2,0.5000000029942169,0.0,0.0,0.0,0.0,2,1,1
