project,technique,precision,recall,wasted,bug id,original score percentage,f-score,expense,t-score,cost,exam-score,bug index,changed files,changed functions,ranked name MRR,ranked name avg similarity
Cli,20_sigmuid,0.16408418343734033,0.16408418343734033,1.0,193,0.2,0.16408418343734033,25.0,25.0,0.25,25.0,32,1,1,ranked 12,ranked 1
Cli,40_sigmuid,0.25462126208866487,0.25462126208866487,1.0,193,0.2,0.25462126208866487,25.0,25.0,0.25,25.0,32,1,1,ranked 5,ranked 2
Cli,60_sigmuid,0.19506701095297793,0.19506701095297793,1.0,193,0.2,0.19506701095297793,25.0,25.0,0.25,25.0,32,1,1,ranked 2,ranked 9
Cli,80_sigmuid,0.46927581187926043,0.46927581187926043,0.0,193,0.2,0.46927581187926043,0.0,0.0,0.0,0.0,32,1,1,ranked 1,ranked 6
Cli,100_sigmuid,0.41586726025553505,0.41586726025553505,0.0,193,0.2,0.41586726025553505,0.0,0.0,0.0,0.0,32,1,1,ranked 7,ranked 4
Cli,120_sigmuid,0.2629892943108701,0.2629892943108701,1.0,193,0.2,0.2629892943108701,25.0,25.0,0.25,25.0,32,1,1,ranked 26,ranked 3
Cli,140_sigmuid,0.3309055498373425,0.3309055498373425,1.0,193,0.2,0.3309055498373425,25.0,25.0,0.25,25.0,32,1,1,ranked 27,ranked 20
Cli,160_sigmuid,0.5246691537368934,0.5246691537368934,0.0,193,0.2,0.5246691537368934,0.0,0.0,0.0,0.0,32,1,1,ranked 21,ranked 7
Cli,180_sigmuid,0.4528064209701459,0.4528064209701459,0.0,193,0.2,0.4528064209701459,0.0,0.0,0.0,0.0,32,1,1,ranked 9,ranked 14
Cli,200_sigmuid,0.44030009117038643,0.44030009117038643,1.0,193,0.2,0.44030009117038643,25.0,25.0,0.25,25.0,32,1,1,ranked 13,ranked 5
Cli,220_sigmuid,0.34151475472010295,0.34151475472010295,0.0,193,0.2,0.34151475472010295,0.0,0.0,0.0,0.0,32,1,1,ranked 30,ranked 8
